item_id_A,name_A,brand_A,size_A,category_A,item_id_B,name_B,brand_B,size_B,category_B,size_bucket,rapidfuzz_wratio,token_jaccard
2102998,"Culture Pop Soda Sparkling Probiotic Drink, Orange Mango, 12 Pack, 12 Fl Oz Cans",Culture Pop,12 fl oz,Food > Beverages > Soda Pop,101526,"Culture Pop Probiotic Soda, Orange Mango & Lime",Culture Pop,4 x 12 fl. oz.,Grocery > Beverages > Gut Health Beverages,volume:12,85.5,0.4
2078927,"Good'n'Fun Triple Flavor Ribs 12 Ounces, Rawhide Snack for All Dogs, Multicolor, Model Number: P-94417",Good 'n' Fun,12 oz,Pets > Dogs > Dog Treats,96224,"Good 'n' Fun Snacks for All Dogs, Triple Flavor, Wings",Good 'n' Fun,4 ounce,Grocery > Pet > Dog,weight:12,85.5,0.3889
1938350,"Dr Teal's Foaming Bath with Pomegranate Oil & Black Currant, 34 fl oz",Dr Teal's,,Personal Care > Bath & Body > Dr Teal's,108629,"Dr Teal's Foaming Bath, Black Elderberry",Dr Teal's,34 fl. oz.,More Departments > Personal Care and Makeup > Bath & Body,volume:34,85.5,0.3571
361499,"Frito Lay Fritos  Corn Chips, 9.25 oz",Fritos,,"Food > Snacks, Cookies & Chips > Chips",1091716,Fritos Flavor Twists Corn Chips Lime & Jalapeno 9 1/4 Oz,Fritos,9.25 ounce,Grocery > Chips & Snack Foods > Tortilla & Corn Chips,weight:9.2,85.5,0.3333
1946324,"Breakstone's Cottage Doubles Lowfat Cottage Cheese with 2% Milkfat and Strawberry Topping, 4.7 oz Cup",Breakstone's,,Food > Dairy & Eggs > Protein Dairy,92618,"Breakstone's Cottage Cheese, Lowfat, Pineapple, 2% Milkfat, Small Curd",Breakstone's,4.7 ounce,Dairy > Cottage and Ricotta Cheese > Cottage Cheese,weight:4.7,85.5,0.3333
2061689,"Tommee Tippee Ultra-light StayPut NightGlow Pacifier, 18-36 Months, 2 Pack, Soft Skin Feel, Extra Air Flow",Tommee Tippee,,Baby > Feeding > Tommee Tippee Pacifiers,115527,"Tommee Tippee Pacifier, Night Time, Orthodontic, 18-36 Months",Tommee Tippee,2 each,More Departments > Baby & Toddler > Pacifiers & Teethers,count:2,85.5,0.3
362082,"REESE'S, Assorted Milk Chocolate Peanut Butter Snack Size Shapes Candy, Halloween, 9.6 oz, Variety Bag",Reese's,,Food > Candy > Chocolate,958585,Reese's White Creme & Peanut Butter White Eggs Snack Size,Reese's,9.6 ounce,Grocery > Candy > Seasonal & Holiday Candy,weight:9.6,85.5,0.2778
2200322,"Tai Pei Beef Bulgogi Potstickers, Frozen Asian Appetizers, 8.8 oz",Tai Pei,8.8 oz,Food > International Food > Asian Foods,1703513,Tai Pei Beef & Broccoli,Tai Pei,10 ounce,Frozen > Appetizers & Frozen Meals > Dinners & Entrees,weight:8.8,85.5,0.2727
2201234,"David Gold High Protein Bars, Cake Batter, 28g Protein - 12ct",David Protein,,Health and Medicine > David Protein,951788,David Cake Batter Flavored Bar,David Protein,26.24 ounce,Grocery > Protein & Snack Bars > High Protein Bars,weight:0.99,85.5,0.2727
2078641,CatS Pride  10 lbs Scoopable Cat Litter,Cat's Pride,,Pets > Pets Shop By Brand > Cat's Pride Cat Litter and Liners,99855,"Cat's Pride Clumping Litter, Antibacterial, Scented, Lightweight",Cat's Pride,12 lb.,Grocery > Pet > Cat,weight:160,85.5,0.2727
2068333,"(3 pack) REESE's PUFFS Chocolatey Peanut Butter Cereal, Kid Breakfast Cereal, Mega Size, 31.2 oz",Reese's,,"Food > Snacks, Cookies & Chips > Chips",952166,"Reese's Eggs Assortment, Peanut Butter, Snack Size",Reese's,31.2 ounce,Grocery > Candy > Seasonal & Holiday Candy,weight:31,85.5,0.25
376102,"BIC Soleil Escape Women's Disposable Razors, 4 Blades, Citrus Scented Razors, 10 Count",BIC,,Personal Care > Shaving > Razors,114393,"BiC Soleil Razors, Comfort",BiC,3 each,More Departments > Personal Care and Makeup > Shaving & Grooming,count:10,85.5,0.25
2105334,"(3 pack) Cortes Instant Chocolate Drink Mix, 12 Oz",Cortes,12 oz,Food > Beverages > Hot Cocoa,96130,Cortes Chocolate,Cortes,7 ounce,Grocery > International Foods > Latino Foods,weight:12,85.5,0.25
2093682,"AMOS 4D Gummy Candy Mermaid Jewels Shell Shapes, Soft Center Jelly-Filled, Gluten Free, 2 Packs, 9oz",AMOS,Mixed 18oz,Food > Candy > Gummy & Chewy Candy,99724,Amos 4D Blocks Gummy Candy,Amos,7 ounce,Grocery > Candy > Fruity Confections,weight:18,85.5,0.2353
371466,"Poland Spring Sparkling Water, Raspberry Lime, 16.9 oz. Bottles (24 Count)",Poland Spring,,Food > Beverages > Water,1089455,Poland Spring 100% Natural Spring Water,Poland Spring,6 x 16.9 fl. oz.,Grocery > Beverages > Bottled Water,weight:17,85.5,0.2308
2076123,"(4 pack) Gerber 2nd Foods Baby Foods, Vegetable Chicken Dinner, 4 oz Tubs (2 Pack)",Gerber,,Baby > Feeding > Baby Food,114444,Gerber Sitter 2nd Foods Green Bean,Gerber,2 ct.,More Departments > Baby & Toddler > Baby Food & Snacks,weight:4,85.5,0.2308
584483,"Tostitos Restaurant Style Tortilla Chips 275g/9.7oz, 3-Pack {Imported from Canada}",Tostitos,,"Food > Snacks, Cookies & Chips > Chips",95452,Tostitos Scoops! Original Tortilla Chips,Tostitos,10 ounce,Grocery > Chips & Snack Foods > Tortilla & Corn Chips,weight:9.7,85.5,0.2308
2269607,"(3 pack) Premier Protein Shake, Caramel, 30g Protein, 11.5 Fl Oz, 12 Ct",Premier Protein,11.5 fl oz,Health and Medicine > Protein > Premier Protein,1333696,Premier Protein Vanilla High Protein Shake,Premier Protein,11.5 fl. oz.,More Departments > Health and Wellness > Active & Sport Nutrition,volume:12,85.5,0.2308
2073994,Native Limited Edition Vanilla Wonderland Deodorant 2.65 oz,Native,,Personal Care > Personal Care Mindful Living Shop,108257,Native Deodorant Charcoal,Native,2.65 ounce,More Departments > Personal Care and Makeup > Deodorant & Antiperspirant,weight:2.6,85.5,0.2222
2258552,"PEZ Easter Festive Egg Tube,1 Candy Dispenser Plus 7 Rolls Assorted Candy,1 Count, 2.03 oz",PEZ,2.03 oz,Food > Candy > Easter Candy,1084562,PEZ Dispenser & Candy,PEZ,2.03 ounce,More Departments > Bulk Foods > Candy and Gum,weight:2,85.5,0.2143
2258270,"Breyers Coffee Ice Cream Gluten-Free Kosher Dairy Milk, 48 oz 1 Count",Breyers,,Food > Seasonal Grocery > Holiday Desserts,94770,Breyers Homemade Vanilla Ice Cream,Breyers,1.5 quart,Frozen > Ice Cream > Ice Cream,weight:48,85.5,0.2143
2120137,"Folgers Morning Cafe, Light Roast Coffee, Keurig K Cup Pods, 48 Count Box",Folgers,,Food > Beverages > Coffee,104554,Folgers Classic Roast Instant Coffee,Folgers,8 ounce,Grocery > Beverages > Coffee & Creamers,count:48,85.5,0.2143
2259431,"Blue Buffalo Homestyle Senior Beef and Chicken Wet Dog Food Variety 6 Pack, 12.5 oz Cans",Blue Buffalo,,Pets > Dogs > Dog Food by Life Stage,100490,"Blue Buffalo Blue's Stew Food for Dogs, Hearty Beef Stew",Blue Buffalo,12.5 ounce,Grocery > Pet > Dog,weight:12,85.5,0.2105
